Journal title,ISSN,eISSN,Publisher name,Publisher address,Languages,Web of Science Categories
ICSID REVIEW-FOREIGN INVESTMENT LAW JOURNAL,0258-3690,2049-1999,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,Law
INDIANA LAW JOURNAL,0019-6665,2169-3218,INDIANA LAW JOURNAL,"INDIANA UNIV SCHOOL LAW, BLOOMINGTON, USA, IN, 47405",English,Law
INDUSTRIAL LAW JOURNAL,0305-9332,1464-3669,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,Industrial Relations & Labor | Law
INTERNATIONAL & COMPARATIVE LAW QUARTERLY,0020-5893,1471-6895,CAMBRIDGE UNIV PRESS,"EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU",English,Law
INTERNATIONAL DATA PRIVACY LAW,2044-3994,2044-4001,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,Law
INTERNATIONAL ENVIRONMENTAL AGREEMENTS-POLITICS LAW AND ECONOMICS,1567-9764,1573-1553,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",English,Economics | Environmental Studies | Law | Political Science
INTERNATIONAL INSOLVENCY REVIEW,1180-0518,1099-1107,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Business, Finance | Law"
INTERNATIONAL JOURNAL OF EVIDENCE & PROOF,1365-7127,1740-5572,SAGE PUBLICATIONS LTD,"105 Bunhill Row, LONDON, England, EC1Y 8LZ",English,Law
INTERNATIONAL JOURNAL OF HUMAN RIGHTS,1364-2987,1744-053X,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,Law
INTERNATIONAL JOURNAL OF LAW AND PSYCHIATRY,0160-2527,1873-6386,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,Law | Psychiatry
INTERNATIONAL JOURNAL OF LAW CRIME AND JUSTICE,1756-0616,1876-763X,ELSEVIER SCI LTD,"125 London Wall, London, England, EC2Y 5AS",English,Criminology & Penology | Law
INTERNATIONAL JOURNAL OF LAW IN CONTEXT,1744-5523,1744-5531,CAMBRIDGE UNIV PRESS,"EDINBURGH BLDG, SHAFTESBURY RD, CAMBRIDGE, ENGLAND, CB2 8RU",English,Law
INTERNATIONAL JOURNAL OF LAW POLICY AND THE FAMILY,1360-9939,1464-3707,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,Family Studies | Law
INTERNATIONAL JOURNAL OF MARINE AND COASTAL LAW,0927-3522,1571-8085,MARTINUS NIJHOFF PUBL,"PO BOX 9000, LEIDEN, NETHERLANDS, 2300 PA",English,Law
INTERNATIONAL JOURNAL OF TRANSITIONAL JUSTICE,1752-7716,1752-7724,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP",English,International Relations | Law | Political Science
INTERNATIONAL REVIEW OF LAW AND ECONOMICS,0144-8188,1873-6394,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",English,Economics | Law
